borehole_id,location,longitude,latitude,yield_m3h,water_strike_m,static_water_level_m,total_depth_m,is_productive,drill_date,view_id
BH10235,Mochudi,26.14597,-24.39839,0.9,34.0,31.9,66.0,1,2005-08-20,NjEzNDU
BH10236,Mochudi,26.20597,-24.34917,110.0,24.25,11.9,60.0,1,2005-09-13,NjEzNDY
BH10237,Mochudi,26.21469,-24.35872,5.0,19.6,15.0,49.0,1,2005-09-18,NjEzNDc
BH10092,Toteng,22.90317,-20.375,0.0,,20.4,73.0,0,2003-10-19,Njg4NTM
BH10107,Toteng,22.90206,-20.37811,1.84,68.0,21.8,73.0,1,2003-10-27,Njg4NTU
BH1242,Toteng,22.95,-20.36167,3.78,22.86,15.2,28.96,1,1960-08-26,Njc3NjI
BH1306,Toteng,22.98722,-20.62278,3.4,36.0,31.1,38.4,1,1961-03-21,Njc3Njg
BH1319,Toteng,22.98722,-20.76583,0.17,52.4,44.2,94.2,1,1961-03-27,Njc3NzA
BH2667,Toteng,22.84667,-20.17861,3.8,21.9,17.1,33.5,1,1974-06-17,NjE1NzU
BH2668,Toteng,22.87417,-20.17667,3.4,23.2,12.8,40.8,1,1974-06-18,NjE1NzY
BH3149,Toteng,22.675,-20.18167,0.9,25.91,20.4,54.86,1,1976-10-18,NjE3MDU
BH5193,Toteng,22.95222,-20.36472,3.0,18.4,18.4,32.0,1,1985-11-12,Njg5Mjg
BH6408,Toteng,23.02083,-20.29278,2.0,12.0,7.7,45.6,1,1989-08-20,NjU1Mjc
BH6415,Toteng,23.04444,-20.22306,9.0,14.0,,25.0,1,1989-09-10,NjU1MzE
BH6416,Toteng,23.04528,-20.22306,3.5,11.0,4.2,22.0,1,1989-09-12,NjU1MzI
BH6417,Toteng,22.95222,-20.34806,0.2,22.0,14.4,27.0,1,1989-09-15,NjU1MzM
BH6418,Toteng,22.94833,-20.34889,3.0,,21.5,33.0,1,1989-09-18,NjU1MzQ
BH6419,Toteng,22.94667,-20.36278,4.5,32.0,16.8,32.0,1,1989-09-20,NjU1MzU
BH10675,Letlhakeng,25.189167,-24.108333,2.0,100.0,81.08,174.0,1,2010-02-16,NjI2MDg
BH1341,Letlhakeng,25.02639,-24.0925,3.2,82.3,11.0,94.2,1,1961-08-05,NjgxODU
BH1693,Letlhakeng,25.00889,-24.20139,6.4,,21.3,106.7,1,1965-01-04,NjYzNTM
BH1988,Letlhakeng,25.17806,-24.04417,3.0,170.69,48.8,182.9,1,1966-10-12,NjYzNjM
BH2439,Letlhakeng,25.32111,-24.15694,0.0,,,108.2,0,1971-11-29,MzA5MTA
BH2672,Letlhakeng,25.09917,-24.12444,1.2,,32.0,201.5,1,1974-06-26,NjkyOTA
BH2774,Letlhakeng,25.05917,-24.11667,0.5,33.5,,92.0,1,1974-08-22,NjkzMjI
BH314,Letlhakeng,25.015,-24.11278,3.4,34.7,7.6,75.9,1,1950-12-20,NjYzODQ
BH3909,Letlhakeng,25.06861,-24.09667,0.0,,,30.0,0,1982-08-12,Njg1MjQ
BH4693,Letlhakeng,25.00833,-24.26667,1.0,56.0,58.85,156.0,1,1984-06-13,Njc1NjY
BH4694,Letlhakeng,25.01667,-24.1,0.0,,,54.0,0,1984-06-16,Njc1Njc
BH6500,Letlhakeng,25.17833,-24.15722,25.0,62.0,30.0,150.0,1,1989-08-28,MzA3Mg
BH6513,Letlhakeng,25.09028,-24.10417,33.5,216.0,53.35,236.0,1,1990-01-23,MzA3NQ
BH6514,Letlhakeng,25.19639,-24.17444,5.3,63.0,67.5,167.0,1,1990-02-13,MzA3OQ
BH10080,Seronga,22.41331,-18.83869,0.388,55.0,24.83,69.0,1,2003-08-28,Njg4NDE
BH10081,Seronga,22.47305,-18.83914,0.313,45.0,24.32,50.0,1,2003-08-31,Njg4NDI
BH10082,Seronga,22.47378,-18.83769,0.33,45.0,24.93,50.0,1,2003-09-02,Njg4NDM
BH3597,Seronga,22.42667,-18.81639,6.9,88.5,11.58,102.4,1,1981-10-11,NjYwNzc
BH5530,Seronga,22.42778,-18.81056,1.5,21.0,23.0,70.0,1,1987-06-25,Njg4OTE
BH5531,Seronga,22.42722,-18.80889,0.0,,,45.0,0,1987-01-14,Njg5Mzg
BH6946,Seronga,22.40778,-18.79194,1.0,43.0,4.0,73.0,1,1992-04-20,Njg5NTQ
BH9731,Seronga,22.498,-18.83158,10.62,,21.36,99.0,1,2002-08-30,NjIyNzU
BH9732,Seronga,22.4786,-18.84403,16.0,,18.4,82.8,1,2002-09-04,NjIyNzY
BH9733,Seronga,22.40692,-18.7878,6.5,,26.74,76.4,1,2002-09-13,NjIyNzc
BH9907,Seronga,22.38914,-18.78278,13.8,,17.24,72.8,1,2002-10-07,NjQ5NDk
Z11633,Seronga,22.89202,-18.98328,5.6,10.0,12.0,42.0,1,2005-01-23,NDAzNDM
Z11634,Seronga,22.89143,-18.98162,0.6,26.0,10.0,30.0,1,2005-01-21,NDAzNDQ
Z11635,Seronga,22.8925,-18.982778,12.0,40.0,12.0,40.0,1,2005-01-22,NDAzNDU
Z11636,Seronga,22.86028,-18.96639,6.5,15.0,11.95,42.0,1,2005-01-26,NDAzNDY
88/95/DH3,Kanye,25.076289,-25.13115,0.0,,,,0,0000-00-00,MzM2MDg
88/95/DH4,Kanye,25.119846,-25.110314,0.0,,,,0,1997-04-11,MzM2MDk
88/95/DH5,Kanye,25.152912,-25.112409,0.0,,,,0,1997-04-18,MzM2MTA
88/95/DH6,Kanye,25.152675,-25.115583,0.0,,,,0,1997-05-01,MzM2MTE
88/95/DH7,Kanye,25.11957,-25.237565,0.0,,,,0,0000-00-00,MzM2MTI
88/95/DH8,Kanye,25.123497,-25.240324,0.0,,,,0,1997-06-20,MzM2MTM
88/95/DH9,Kanye,25.123386,-25.247544,0.0,,,,0,1997-07-31,MzM2MTQ
88/95/RC1,Kanye,25.127008,-25.239267,0.0,,,200.0,0,1997-11-09,MzM2MTY
88/95/RC10,Kanye,25.068874,-25.266801,0.0,,,55.0,0,1997-10-19,MzM2MjU
88/95/RC11,Kanye,25.112668,-25.230066,0.0,,,91.0,0,1997-10-20,MzM2MjY
88/95/RC12,Kanye,25.115721,-25.267615,0.0,,,60.0,0,1997-10-21,MzM2Mjc
